\begin{tabular}{rrr}
\toprule
 k &  aik &  aik_distribution \\
\midrule
 0 &    0 &          1.000000 \\
 0 &    1 &          0.000000 \\
 0 &    2 &          0.000000 \\
 0 &    3 &          0.000000 \\
 0 &    4 &          0.000000 \\
 1 &    0 &          0.000000 \\
 1 &    1 &          1.000000 \\
 1 &    2 &          0.000000 \\
 1 &    3 &          0.000000 \\
 1 &    4 &          0.000000 \\
 2 &    0 &          0.000000 \\
 2 &    1 &          0.045684814453125 \\
 2 &    2 &          0.954315185546875 \\
 2 &    3 &          0.000000 \\
 2 &    4 &          0.000000 \\
 3 &    0 &          0.000000 \\
 3 &    1 &          0.000000 \\
 3 &    2 &          0.98333740234375 \\
 3 &    3 &          0.01666259765625 \\
 3 &    4 &          0.000000 \\
 4 &    0 &          0.000000 \\
 4 &    1 &          0.000000 \\
 4 &    2 &          0.121734619140625 \\
 4 &    3 &          0.878265380859375 \\
 4 &    4 &          0.000000 \\
 5 &    0 &          0.000000 \\
 5 &    1 &          0.000000 \\
 5 &    2 &          0.981719970703125 \\
 5 &    3 &          0.018280029296875 \\
 5 &    4 &          0.000000 \\
 6 &    0 &          0.000000 \\
 6 &    1 &          0.046539306640625 \\
 6 &    2 &          0.953460693359375 \\
 6 &    3 &          0.000000 \\
 6 &    4 &          0.000000 \\
 7 &    0 &               0.0 \\
 7 &    1 &               1.000000 \\
 7 &    2 &               0.0 \\
 7 &    3 &               0.0 \\
 7 &    4 &               0.0 \\
 8 &    0 &               1.000000 \\
 8 &    1 &               0.0 \\
 8 &    2 &               0.0 \\
 8 &    3 &               0.0 \\
 8 &    4 &               0.0 \\
\bottomrule
\end{tabular}
