\begin{tabular}{rrr}
\toprule
 k &  aik &  aik_distribution \\
\midrule
 0 &    0 &              1.00 \\
 0 &    1 &              0.00 \\
 0 &    2 &              0.00 \\
 0 &    3 &              0.00 \\
 0 &    4 &              0.00 \\
 1 &    0 &              0.00 \\
 1 &    1 &              1.00 \\
 1 &    2 &              0.00 \\
 1 &    3 &              0.00 \\
 1 &    4 &              0.00 \\
 2 &    0 &              0.00 \\
 2 &    1 &              0.00 \\
 2 &    2 &              1.00 \\
 2 &    3 &              0.00 \\
 2 &    4 &              0.00 \\
 3 &    0 &              0.00 \\
 3 &    1 &              0.00 \\
 3 &    2 &              1.00 \\
 3 &    3 &              0.00 \\
 3 &    4 &              0.00 \\
 4 &    0 &              0.00 \\
 4 &    1 &              0.00 \\
 4 &    2 &              0.25 \\
 4 &    3 &              0.75 \\
 4 &    4 &              0.00 \\
 5 &    0 &              0.00 \\
 5 &    1 &              0.00 \\
 5 &    2 &              1.00 \\
 5 &    3 &              0.00 \\
 5 &    4 &              0.00 \\
 6 &    0 &              0.00 \\
 6 &    1 &              0.00 \\
 6 &    2 &              1.00 \\
 6 &    3 &              0.00 \\
 6 &    4 &              0.00 \\
 7 &    0 &              0.00 \\
 7 &    1 &              1.00 \\
 7 &    2 &              0.00 \\
 7 &    3 &              0.00 \\
 7 &    4 &              0.00 \\
 8 &    0 &              1.00 \\
 8 &    1 &              0.00 \\
 8 &    2 &              0.00 \\
 8 &    3 &              0.00 \\
 8 &    4 &              0.00 \\
\bottomrule
\end{tabular}
