\begin{tabular}{rrr}
\toprule
 k &  aik &  aik_distribution \\
\midrule
 0 &    0 &          1.000000 \\
 0 &    1 &          0.000000 \\
 0 &    2 &          0.000000 \\
 0 &    3 &          0.000000 \\
 0 &    4 &          0.000000 \\
 1 &    0 &          0.000000 \\
 1 &    1 &          1.000000 \\
 1 &    2 &          0.000000 \\
 1 &    3 &          0.000000 \\
 1 &    4 &          0.000000 \\
 2 &    0 &          0.000000 \\
 2 &    1 &          0.046754 \\
 2 &    2 &          0.953246 \\
 2 &    3 &          0.000000 \\
 2 &    4 &          0.000000 \\
 3 &    0 &          0.000000 \\
 3 &    1 &          0.000000 \\
 3 &    2 &          0.983496 \\
 3 &    3 &          0.016504 \\
 3 &    4 &          0.000000 \\
 4 &    0 &          0.000000 \\
 4 &    1 &          0.000000 \\
 4 &    2 &          0.120014 \\
 4 &    3 &          0.879986 \\
 4 &    4 &          0.000000 \\
 5 &    0 &          0.000000 \\
 5 &    1 &          0.000000 \\
 5 &    2 &          0.983503 \\
 5 &    3 &          0.016497 \\
 5 &    4 &          0.000000 \\
 6 &    0 &          0.000000 \\
 6 &    1 &          0.047215 \\
 6 &    2 &          0.952785 \\
 6 &    3 &          0.000000 \\
 6 &    4 &          0.000000 \\
 7 &    0 &          0.000000 \\
 7 &    1 &          1.000000 \\
 7 &    2 &          0.000000 \\
 7 &    3 &          0.000000 \\
 7 &    4 &          0.000000 \\
 8 &    0 &          1.000000 \\
 8 &    1 &          0.000000 \\
 8 &    2 &          0.000000 \\
 8 &    3 &          0.000000 \\
 8 &    4 &          0.000000 \\
\bottomrule
\end{tabular}
