n,Average execution times,pre_computation_time
1,0.0018696784973144531,276.2263057231903
2,0.11766970157623291,276.2263057231903
3,0.11561862627665202,276.2263057231903
4,0.11482676267623901,276.2263057231903
5,0.11644543257970659,276.2263057231903
6,0.10125395910739898,276.2263057231903
7,0.10770695703029633,276.2263057231903
8,0.12631422941684722,276.2263057231903
9,0.18917336592674255,276.2263057231903
10,0.4615232782125473,276.2263057231903
11,1.4134152698040008,276.2263057231903
12,5.256065504550934,282.79243540763855
